Date,Price,Open,High,Low,Vol.,Change %
2023-01-07,1.0000,0.9998,1.0003,0.9995,522.99K,0.02%
2023-01-06,0.9998,0.9998,1.0002,0.9997,497.16K,0.00%
2023-01-05,0.9998,0.9996,1.0000,0.9993,635.30K,0.03%
2023-01-04,0.9996,0.9998,1.0000,0.9992,1.19M,-0.02%
2023-01-03,0.9998,0.9998,1.0002,0.9982,1.47M,0.00%
2023-01-02,0.9998,0.9999,1.0000,0.9992,518.04K,-0.01%
2023-01-01,0.9999,1.0000,1.0002,0.9998,421.45K,0.00%
2022-12-31,1.0000,1.0002,1.0002,0.9996,1.02M,-0.02%
2022-12-30,1.0002,0.9999,1.0015,0.9996,792.21K,0.03%
2022-12-29,0.9999,0.9998,1.0027,0.9996,840.15K,0.01%
2022-12-28,0.9998,0.9999,1.0005,0.9991,942.29K,-0.01%
2022-12-27,0.9999,1.0001,1.0009,0.9980,2.37M,-0.02%
2022-12-26,1.0001,1.0002,1.0008,0.9993,1.08M,-0.01%
2022-12-25,1.0002,0.9999,1.0004,0.9999,368.47K,0.03%
2022-12-24,0.9999,0.9998,1.0006,0.9995,556.52K,0.01%
2022-12-23,0.9998,1.0000,1.0007,0.9993,1.05M,-0.01%
2022-12-22,0.9999,0.9998,1.0001,0.9986,1.14M,0.02%
2022-12-21,0.9998,0.9999,1.0003,0.9993,1.10M,-0.01%
2022-12-20,0.9999,1.0000,1.0001,0.9995,1.50M,-0.01%
2022-12-19,1.0000,0.9999,1.0000,0.9995,577.86K,0.01%
2022-12-18,0.9999,0.9998,1.0001,0.9996,931.36K,0.01%
2022-12-17,0.9998,1.0000,1.0001,0.9984,774.73K,-0.02%
2022-12-16,1.0000,0.9997,1.0001,0.9997,828.95K,0.03%
2022-12-15,0.9997,1.0001,1.0003,0.9992,978.87K,-0.04%
2022-12-14,1.0000,0.9999,1.0006,0.9996,917.86K,0.01%
2022-12-13,0.9999,0.9998,1.0000,0.9981,1.84M,0.01%
2022-12-12,0.9998,0.9991,0.9999,0.9979,4.61M,0.08%
2022-12-11,0.9991,1.0000,1.0001,0.9978,2.24M,-0.09%
2022-12-10,1.0000,0.9996,1.0003,0.9992,514.31K,0.04%
2022-12-09,0.9996,0.9999,1.0000,0.9995,501.62K,-0.04%
2022-12-08,1.0000,0.9997,1.0000,0.9996,1.00M,0.04%
2022-12-07,0.9996,0.9998,1.0001,0.9995,1.16M,-0.01%
2022-12-06,0.9998,0.9998,1.0000,0.9996,832.80K,-0.01%
2022-12-05,0.9998,0.9999,1.0001,0.9997,2.19M,-0.01%
2022-12-04,0.9999,0.9999,1.0002,0.9997,1.03M,0.00%
2022-12-03,0.9999,0.9999,1.0001,0.9997,613.50K,0.00%
2022-12-02,0.9999,1.0001,1.0002,0.9997,1.03M,-0.02%
2022-12-01,1.0001,0.9997,1.0002,0.9996,1.38M,0.04%
2022-11-30,0.9997,0.9999,1.0001,0.9996,2.18M,-0.01%
2022-11-29,0.9999,0.9997,1.0003,0.9997,1.47M,0.01%
2022-11-28,0.9997,0.9999,1.0001,0.9995,1.33M,-0.02%
2022-11-27,1.0000,1.0000,1.0002,0.9998,333.07K,0.01%
2022-11-26,0.9999,0.9998,1.0001,0.9998,635.10K,0.01%
2022-11-25,0.9998,1.0000,1.0002,0.9997,693.05K,-0.01%
2022-11-24,0.9999,0.9998,1.0004,0.9997,1.16M,0.00%
2022-11-23,0.9998,0.9998,1.0000,0.9996,2.20M,0.00%
2022-11-22,0.9998,0.9998,1.0001,0.9996,2.27M,0.00%
2022-11-21,0.9998,0.9994,1.0001,0.9987,3.01M,0.04%
2022-11-20,0.9994,0.9999,1.0000,0.9992,2.33M,-0.05%
2022-11-19,0.9999,0.9997,1.0000,0.9993,2.36M,0.01%
2022-11-18,0.9998,0.9997,1.0006,0.9995,1.10M,0.01%
2022-11-17,0.9997,0.9997,1.0000,0.9986,1.75M,0.00%
2022-11-16,0.9997,0.9999,1.0004,0.9987,3.57M,-0.02%
2022-11-15,0.9999,0.9999,1.0006,0.9994,1.33M,0.00%
2022-11-14,0.9999,1.0000,1.0011,0.9993,1.62M,-0.01%
2022-11-13,1.0000,0.9999,1.0012,0.9987,1.36M,0.01%
2022-11-12,0.9999,0.9997,1.0020,0.9984,1.90M,0.02%
2022-11-11,0.9997,1.0005,1.0013,0.9988,3.21M,-0.07%
2022-11-10,1.0005,1.0004,1.0073,0.9966,5.16M,0.01%
2022-11-09,1.0004,0.9996,1.0042,0.9984,6.64M,0.07%
2022-11-08,0.9997,0.9998,1.0000,0.9992,4.36M,-0.01%
2022-11-07,0.9998,0.9999,1.0006,0.9997,2.02M,-0.01%
2022-11-06,0.9999,0.9999,1.0001,0.9998,1.04M,0.00%
2022-11-05,0.9999,1.0000,1.0001,0.9998,1.10M,0.00%
2022-11-04,0.9999,0.9999,1.0001,0.9994,2.25M,0.00%
2022-11-03,0.9999,0.9999,1.0000,0.9997,838.51K,0.00%
2022-11-02,0.9999,0.9997,1.0001,0.9994,1.87M,0.02%
2022-11-01,0.9997,0.9998,1.0000,0.9994,1.56M,-0.02%
2022-10-31,1.0000,0.9997,1.0002,0.9983,4.37M,0.03%
2022-10-30,0.9997,0.9997,0.9999,0.9993,1.38M,-0.01%
2022-10-29,0.9998,0.9997,1.0001,0.9994,1.64M,-0.01%
2022-10-28,0.9999,0.9999,1.0004,0.9993,1.93M,0.00%
2022-10-27,0.9999,1.0004,1.0004,0.9998,2.19M,-0.05%
2022-10-26,1.0004,1.0000,1.0006,0.9996,2.96M,0.04%
2022-10-25,1.0000,1.0001,1.0003,0.9994,2.53M,-0.01%
2022-10-24,1.0001,0.9999,1.0005,0.9997,1.83M,0.02%
2022-10-23,0.9999,1.0003,1.0006,0.9999,717.42K,-0.04%
2022-10-22,1.0003,0.9995,1.0003,0.9994,716.80K,0.07%
2022-10-21,0.9996,1.0000,1.0002,0.9991,1.03M,-0.03%
2022-10-20,1.0000,1.0000,1.0001,0.9997,715.41K,0.00%
2022-10-19,0.9999,0.9999,1.0002,0.9993,1.13M,0.01%
2022-10-18,0.9999,1.0000,1.0003,0.9994,1.93M,-0.01%
2022-10-17,1.0000,0.9999,1.0003,0.9991,1.89M,0.01%
2022-10-16,0.9999,1.0002,1.0002,0.9998,646.03K,-0.03%
2022-10-15,1.0002,1.0003,1.0004,1.0000,701.42K,0.00%
2022-10-14,1.0003,0.9999,1.0008,0.9999,1.84M,0.03%
2022-10-13,0.9999,1.0000,1.0008,0.9995,3.57M,0.00%
2022-10-12,1.0000,1.0000,1.0002,0.9998,1.43M,-0.01%
2022-10-11,1.0001,0.9998,1.0001,0.9998,977.70K,0.03%
2022-10-10,0.9998,1.0000,1.0000,0.9987,1.08M,-0.02%
2022-10-09,1.0000,0.9999,1.0002,0.9995,830.47K,0.01%
2022-10-08,0.9999,1.0000,1.0001,0.9996,735.41K,-0.01%
2022-10-07,1.0000,0.9999,1.0002,0.9995,1.35M,0.01%
2022-10-06,0.9999,0.9989,1.0002,0.9987,1.41M,0.09%
2022-10-05,0.9990,0.9996,1.0000,0.9983,3.04M,-0.06%
2022-10-04,0.9996,0.9998,1.0000,0.9902,3.25M,-0.02%
2022-10-03,0.9998,0.9998,1.0001,0.9985,3.43M,0.00%
2022-10-02,0.9998,0.9999,1.0000,0.9997,518.56K,-0.01%
2022-10-01,0.9999,0.9999,1.0002,0.9998,990.58K,-0.01%
2022-09-30,1.0000,0.9999,1.0001,0.9996,1.45M,0.01%
2022-09-29,0.9999,0.9995,1.0000,0.9992,1.95M,0.04%
2022-09-28,0.9995,0.9999,1.0004,0.9990,1.56M,-0.04%
2022-09-27,0.9999,0.9999,1.0002,0.9987,2.29M,0.01%
2022-09-26,0.9998,1.0000,1.0003,0.9975,1.86M,-0.02%
2022-09-25,1.0000,1.0003,1.0003,0.9994,1.03M,-0.03%
2022-09-24,1.0003,1.0000,1.0003,0.9999,1.94M,0.03%
2022-09-23,1.0000,0.9999,1.0003,0.9995,6.37M,0.02%
2022-09-22,0.9998,0.9999,1.0000,0.9984,1.15M,0.00%
2022-09-21,0.9999,0.9999,1.0002,0.9996,2.02M,0.00%
2022-09-20,0.9999,0.9999,1.0003,0.9995,1.58M,0.00%
2022-09-19,0.9999,0.9999,1.0000,0.9991,1.33M,-0.01%
2022-09-18,1.0000,0.9997,1.0002,0.9994,1.21M,0.03%
2022-09-17,0.9997,1.0000,1.0002,0.9996,945.72K,-0.03%
2022-09-16,1.0000,0.9998,1.0004,0.9985,1.47M,0.02%
2022-09-15,0.9998,0.9996,1.0001,0.9987,3.81M,0.02%
2022-09-14,0.9996,0.9999,1.0000,0.9986,1.88M,-0.03%
2022-09-13,0.9999,0.9999,1.0002,0.9992,4.29M,0.00%
2022-09-12,0.9999,1.0000,1.0001,0.9995,2.57M,-0.01%
2022-09-11,1.0000,0.9999,1.0001,0.9991,1.77M,0.01%
2022-09-10,0.9999,0.9998,1.0001,0.9989,2.60M,0.01%
2022-09-09,0.9998,1.0000,1.0003,0.9995,2.21M,-0.03%
2022-09-08,1.0000,0.9999,1.0006,0.9997,2.78M,0.01%
2022-09-07,0.9999,1.0001,1.0006,0.9996,1.94M,-0.02%
2022-09-06,1.0001,0.9999,1.0003,0.9994,2.61M,0.02%
2022-09-05,0.9999,1.0000,1.0001,0.9995,1.32M,0.00%
2022-09-04,0.9999,0.9998,1.0001,0.9996,749.17K,0.01%
2022-09-03,0.9998,1.0001,1.0002,0.9995,867.17K,-0.03%
2022-09-02,1.0000,1.0001,1.0004,0.9997,1.90M,0.00%
2022-09-01,1.0001,0.9999,1.0002,0.9993,1.17M,0.02%
2022-08-31,0.9999,0.9999,1.0000,0.9993,1.65M,0.00%
2022-08-30,0.9999,0.9999,1.0006,0.9997,2.09M,0.01%
2022-08-29,0.9998,0.9999,1.0000,0.9995,1.64M,-0.01%
2022-08-28,0.9999,0.9999,1.0000,0.9997,1.16M,-0.01%
2022-08-27,1.0000,0.9999,1.0002,0.9998,1.72M,0.01%
2022-08-26,0.9999,0.9999,1.0000,0.9997,2.02M,0.01%
2022-08-25,0.9999,1.0000,1.0001,0.9997,1.55M,0.01%
2022-08-24,0.9998,1.0000,1.0001,0.9996,1.54M,-0.02%
2022-08-23,1.0000,0.9999,1.0001,0.9996,1.76M,0.01%
2022-08-22,0.9999,0.9998,1.0003,0.9998,1.70M,0.01%
2022-08-21,0.9998,0.9998,0.9999,0.9998,988.48K,0.00%
2022-08-20,0.9998,0.9999,1.0001,0.9996,2.35M,-0.01%
2022-08-19,0.9999,1.0000,1.0000,0.9996,7.20M,0.00%
2022-08-18,0.9999,1.0000,1.0000,0.9998,1.66M,-0.01%
2022-08-17,1.0000,0.9999,1.0001,0.9996,5.64M,0.01%
2022-08-16,0.9999,0.9999,1.0005,0.9995,6.61M,0.00%
2022-08-15,0.9999,0.9999,1.0001,0.9996,6.51M,0.00%
2022-08-14,0.9999,0.9997,1.0003,0.9996,4.04M,0.02%
2022-08-13,0.9997,0.9997,1.0001,0.9996,3.05M,0.01%
2022-08-12,0.9997,1.0000,1.0008,0.9996,4.95M,-0.03%
2022-08-11,1.0000,1.0002,1.0017,0.9998,9.93M,-0.02%
2022-08-10,1.0001,1.0009,1.0010,0.9998,5.56M,-0.08%
2022-08-09,1.0010,1.0000,1.0017,0.9998,5.75M,0.10%
2022-08-08,1.0000,0.9999,1.0004,0.9996,3.41M,0.00%
2022-08-07,0.9999,0.9998,1.0001,0.9998,659.04K,0.01%
2022-08-06,0.9998,1.0000,1.0001,0.9997,1.55M,-0.02%
2022-08-05,1.0000,1.0000,1.0002,0.9996,1.74M,0.00%
2022-08-04,1.0000,1.0000,1.0001,0.9994,1.83M,0.00%
2022-08-03,1.0000,0.9999,1.0002,0.9998,1.38M,0.01%
2022-08-02,0.9999,1.0000,1.0002,0.9982,5.41M,-0.01%
2022-08-01,1.0000,1.0002,1.0004,0.9994,4.97M,-0.02%
2022-07-31,1.0002,1.0002,1.0003,0.9997,1.65M,0.00%
2022-07-30,1.0002,0.9997,1.0003,0.9996,1.95M,0.05%
2022-07-29,0.9997,1.0000,1.0001,0.9994,2.22M,-0.03%
2022-07-28,1.0000,1.0000,1.0002,0.9995,2.85M,0.00%
2022-07-27,1.0000,0.9999,1.0002,0.9996,3.83M,0.01%
2022-07-26,0.9999,1.0000,1.0003,0.9993,2.72M,-0.01%
2022-07-25,1.0000,1.0000,1.0004,0.9995,1.90M,0.00%
2022-07-24,1.0000,1.0000,1.0000,0.9998,1.18M,0.00%
2022-07-23,1.0000,1.0000,1.0001,0.9996,1.49M,0.00%
2022-07-22,1.0000,0.9998,1.0004,0.9997,2.10M,0.02%
2022-07-21,0.9998,0.9997,0.9999,0.9997,1.89M,0.01%
2022-07-20,0.9997,0.9997,1.0000,0.9994,3.59M,0.00%
2022-07-19,0.9997,0.9999,1.0001,0.9993,3.25M,-0.01%
2022-07-18,0.9998,0.9999,1.0004,0.9996,6.12M,-0.01%
2022-07-17,0.9999,1.0000,1.0003,0.9997,1.76M,-0.01%
2022-07-16,1.0000,1.0000,1.0003,0.9997,2.39M,0.00%
2022-07-15,1.0000,0.9998,1.0000,0.9997,1.77M,0.02%
2022-07-14,0.9998,0.9995,1.0001,0.9995,1.87M,0.02%
2022-07-13,0.9995,0.9995,1.0001,0.9990,3.05M,0.00%
2022-07-12,0.9995,0.9997,0.9999,0.9985,1.78M,-0.02%
2022-07-11,0.9997,0.9996,0.9998,0.9994,1.65M,0.01%
2022-07-10,0.9996,0.9997,0.9999,0.9996,1.01M,-0.01%
2022-07-09,0.9997,0.9998,0.9999,0.9994,1.10M,-0.01%
2022-07-08,0.9998,0.9998,1.0000,0.9993,1.41M,0.00%
2022-07-07,0.9998,0.9996,1.0001,0.9987,2.26M,0.02%
2022-07-06,0.9996,0.9994,1.0000,0.9988,1.65M,0.02%
2022-07-05,0.9994,0.9997,0.9997,0.9987,7.62M,-0.03%
2022-07-04,0.9997,0.9996,0.9998,0.9995,6.83M,0.02%
2022-07-03,0.9996,0.9998,0.9998,0.9996,938.69K,-0.02%
2022-07-02,0.9998,0.9998,0.9999,0.9990,1.51M,0.00%
2022-07-01,0.9998,0.9994,1.0000,0.9994,1.90M,0.03%
2022-06-30,0.9994,0.9999,1.0001,0.9987,2.97M,-0.04%
2022-06-29,0.9999,1.0005,1.0006,0.9993,2.02M,-0.07%
2022-06-28,1.0005,0.9996,1.0011,0.9994,5.44M,0.10%
2022-06-27,0.9996,0.9997,0.9999,0.9993,1.82M,-0.03%
2022-06-26,0.9998,0.9996,0.9999,0.9994,2.05M,0.02%
