Date,Open,High,Low,Close,DGD-USD,Volume
2019-01-07,21.828857,21.891735,20.996132,21.317183,21.317183,204841
2019-01-08,21.280008,21.312042,20.446590,20.606232,20.606232,301162
2019-01-09,20.625618,21.020287,20.335684,20.367100,20.367100,331661
2019-01-10,20.392223,20.543236,17.198351,17.522614,17.522614,1353452
2019-01-11,17.517021,17.903870,17.507105,17.658590,17.658590,267500
2019-01-12,17.696249,17.932590,17.452276,17.594248,17.594248,155869
2019-01-13,17.570738,18.029400,16.167261,16.314905,16.314905,186168
2019-01-14,16.364553,17.795855,16.335003,17.561857,17.561857,315936
2019-01-15,17.553791,17.610584,16.613436,16.779469,16.779469,162883
2019-01-16,16.753763,18.325312,16.753763,17.728758,17.728758,313775
2019-01-17,17.722239,19.059732,17.326715,18.550091,18.550091,330576
2019-01-18,18.511370,18.553799,17.430290,17.621248,17.621248,176361
2019-01-19,17.641329,19.400221,17.641329,18.645981,18.645981,294772
2019-01-20,18.598791,18.920094,17.643290,17.764845,17.764845,211560
2019-01-21,17.833557,20.912807,17.484100,18.911823,18.911823,930858
2019-01-22,18.890121,19.299013,17.525337,18.163662,18.163662,471510
2019-01-23,18.123243,19.015556,18.019451,18.190615,18.190615,283802
2019-01-24,18.188080,21.488932,17.826538,19.130922,19.130922,1462388
2019-01-25,19.137354,20.259293,18.593891,18.948132,18.948132,728536
2019-01-26,18.993565,19.262257,18.607468,19.136772,19.136772,271056
2019-01-27,19.141342,20.235733,17.933363,17.970255,17.970255,467680
2019-01-28,17.923182,17.982681,16.135866,16.487610,16.487610,380370
2019-01-29,16.483154,16.729101,15.288079,16.161848,16.161848,401242
2019-01-30,16.070313,16.452654,15.941466,16.402313,16.402313,199167
2019-01-31,16.397715,17.065945,15.204157,15.326456,15.326456,431758
2019-02-01,15.303809,16.279123,14.950732,16.004517,16.004517,198082
2019-02-02,15.987637,16.327169,15.532956,16.056185,16.056185,145026
2019-02-03,16.076403,16.101955,15.478910,15.589132,15.589132,111123
2019-02-04,15.569856,15.814045,15.477486,15.543804,15.543804,154997
2019-02-05,15.470789,15.733858,15.139963,15.525776,15.525776,191259
2019-02-06,15.511042,15.511042,14.676652,14.826460,14.826460,138502
2019-02-07,14.809058,15.782948,14.783203,15.274901,15.274901,241390
2019-02-08,15.247546,18.241707,15.097950,16.480434,16.480434,1425847
2019-02-09,16.484625,16.841894,16.369303,16.701162,16.701162,223011
2019-02-10,16.711737,16.812532,16.286694,16.739119,16.739119,184968
2019-02-11,16.789421,16.789421,16.215654,16.494789,16.494789,205917
2019-02-12,16.505760,16.583393,16.186445,16.311304,16.311304,98837
2019-02-13,16.313587,16.672953,16.097027,16.221695,16.221695,141784
2019-02-14,16.207157,16.364813,15.821229,15.827385,15.827385,142434
2019-02-15,15.837388,16.022863,15.362185,15.448277,15.448277,289906
2019-02-16,15.451875,15.562927,15.102300,15.171355,15.171355,255815
2019-02-17,15.177139,15.221189,14.517883,14.807152,14.807152,640225
2019-02-18,14.764429,16.059298,14.711377,15.961318,15.961318,403477
2019-02-19,15.965472,16.598228,15.920285,15.977148,15.977148,368885
2019-02-20,15.947515,16.386490,15.842727,16.363146,16.363146,348762
2019-02-21,16.800041,16.800041,15.603749,15.794948,15.794948,220070
2019-02-22,15.774736,16.228870,15.611623,16.189648,16.189648,109714
2019-02-23,16.160042,16.619980,15.756653,16.450666,16.450666,246152
2019-02-24,16.474379,17.579571,14.923710,15.224660,15.224660,552422
2019-02-25,15.092377,15.761198,15.033803,15.553524,15.553524,217137
2019-02-26,15.525546,16.355665,15.265620,16.091223,16.091223,378168
2019-02-27,16.065683,16.545994,15.361600,15.687548,15.687548,312726
2019-02-28,15.818605,16.177073,15.561658,15.621687,15.621687,184566
2019-03-01,15.628549,17.697468,15.605304,16.885216,16.885216,726546
2019-03-02,16.823481,17.746948,15.992911,16.039152,16.039152,884233
2019-03-03,16.072769,16.380665,15.628264,15.704017,15.704017,504863
2019-03-04,15.683018,16.601583,14.900247,15.232137,15.232137,559193
2019-03-05,15.232488,15.936833,15.025971,15.387395,15.387395,941932
2019-03-06,15.377771,15.588080,15.180631,15.319183,15.319183,411561
2019-03-07,15.328254,15.624263,15.059422,15.379295,15.379295,420923
2019-03-08,15.389158,16.079487,15.315549,15.588546,15.588546,723103
2019-03-09,15.539528,16.152491,15.515560,15.905758,15.905758,524408
2019-03-10,15.925788,16.011185,15.586563,15.955047,15.955047,357340
2019-03-11,15.971130,16.837006,15.714401,16.251089,16.251089,1100636
2019-03-12,16.024998,18.663877,15.842109,16.926825,16.926825,1360909
2019-03-13,16.956215,17.376381,16.261534,16.346247,16.346247,605554
2019-03-14,16.417435,17.147173,16.417435,16.864933,16.864933,364502
2019-03-15,16.820105,17.653414,16.820105,17.361704,17.361704,407721
2019-03-16,17.360075,17.567190,17.043858,17.171469,17.171469,238640
2019-03-17,17.169655,17.357435,16.791084,17.192938,17.192938,181650
2019-03-18,17.199354,17.579306,16.764688,17.039314,17.039314,240810
2019-03-19,17.045269,17.135527,16.658190,16.934511,16.934511,207987
2019-03-20,16.982252,17.760534,16.698742,17.328299,17.328299,466375
2019-03-21,17.403534,17.566572,16.514347,17.150955,17.150955,532991
2019-03-22,17.089430,19.191389,17.089430,18.530943,18.530943,1581477
2019-03-23,18.524050,18.524050,17.753338,17.923658,17.923658,369798
2019-03-24,17.908566,19.045151,17.812048,18.684252,18.684252,702402
2019-03-25,18.739864,19.858829,17.755095,17.984884,17.984884,1375592
2019-03-26,17.972408,18.535494,17.350172,17.860222,17.860222,1022157
2019-03-27,17.875124,20.032171,17.815392,19.474897,19.474897,1724949
2019-03-28,19.474897,19.818821,19.054758,19.220308,19.220308,682593
2019-03-29,19.218761,22.695358,18.861122,20.829212,20.829212,3949473
2019-03-30,20.783068,22.438684,18.805202,19.454226,19.454226,2104475
2019-03-31,19.454226,19.750290,18.990618,19.261171,19.261171,770816
2019-04-01,19.253569,19.838308,19.036724,19.494596,19.494596,554662
2019-04-02,19.491068,21.015488,19.110403,20.844995,20.844995,1721100
2019-04-03,20.833405,22.105190,20.258745,20.688307,20.688307,793713
2019-04-04,20.696396,21.329285,20.237856,20.538857,20.538857,660087
2019-04-05,20.534101,23.153893,20.534101,21.877550,21.877550,612809
2019-04-06,21.887119,22.215164,21.363993,21.829948,21.829948,625343
2019-04-07,21.843847,22.692053,21.830137,22.465374,22.465374,669468
2019-04-08,22.477388,23.069284,21.431433,22.518568,22.518568,586059
2019-04-09,22.518568,22.536268,21.278610,21.300602,21.300602,502931
2019-04-10,21.295549,23.863146,20.921993,21.035494,21.035494,1090830
2019-04-11,21.044424,21.109875,18.182756,18.950663,18.950663,1011676
2019-04-12,18.946905,19.477070,18.147236,19.168964,19.168964,398790
2019-04-13,19.169718,20.074360,18.922640,19.503716,19.503716,468891
2019-04-14,19.503716,20.308804,19.191181,20.284891,20.284891,120182
2019-04-15,20.284891,20.783560,18.704786,18.988611,18.988611,301781
2019-04-16,18.991104,19.745770,18.935745,19.512081,19.512081,122119
2019-04-17,19.555403,19.636078,19.025238,19.156561,19.156561,224994
2019-04-18,19.155821,25.468447,19.150423,24.598606,24.598606,5016735
2019-04-19,24.602257,25.947744,22.959772,24.490616,24.490616,3702994
2019-04-20,24.497738,28.061172,24.353771,26.324339,26.324339,2282865
2019-04-21,26.324339,27.195816,23.607479,26.356955,26.356955,1452584
2019-04-22,26.327110,39.707687,25.625336,35.299774,35.299774,25049695
2019-04-23,35.299774,37.961040,30.069588,32.591206,32.591206,12669986
2019-04-24,32.143993,33.385426,27.337429,29.102589,29.102589,3778447
2019-04-25,29.123928,29.160906,24.923779,25.849394,25.849394,1750862
2019-04-26,25.899599,33.855427,24.201090,31.136808,31.136808,9303677
2019-04-27,31.100281,32.777203,28.514988,29.645897,29.645897,3901013
2019-04-28,29.642788,32.035046,29.566639,30.983711,30.983711,2173939
2019-04-29,30.999657,32.677143,27.306116,29.058111,29.058111,2346554
2019-04-30,28.964291,29.974834,28.050186,29.258577,29.258577,1062333
2019-05-01,29.262878,29.844852,27.673353,27.961164,27.961164,832179
2019-05-02,27.970053,29.365211,27.299377,27.944710,27.944710,1165197
2019-05-03,27.943792,34.121441,27.825235,30.240622,30.240622,4245665
2019-05-04,30.240622,35.747574,30.068426,33.051010,33.051010,5907590
2019-05-05,33.142139,34.008217,30.798594,31.313349,31.313349,1367543
2019-05-06,31.298016,31.298016,28.950504,29.796297,29.796297,1287701
2019-05-07,29.776142,30.888456,29.303844,29.685711,29.685711,788895
2019-05-08,29.609646,34.480865,29.227242,32.506371,32.506371,4146739
2019-05-09,32.506371,39.171856,32.506371,36.011818,36.011818,6194213
2019-05-10,36.107731,38.129932,34.085907,34.515079,34.515079,4296145
2019-05-11,34.522449,37.808372,33.855865,36.640305,36.640305,3324039
2019-05-12,36.344154,39.396114,35.393356,35.987652,35.987652,3632791
2019-05-13,35.987652,37.438187,34.934357,35.809502,35.809502,3100164
2019-05-14,35.849094,37.944698,33.715706,35.207703,35.207703,2305543
2019-05-15,35.201866,39.124699,35.178444,38.264366,38.264366,2728588
2019-05-16,38.263775,40.578304,36.834297,38.264034,38.264034,2449760
2019-05-17,38.257488,38.512318,33.087151,34.256859,34.256859,1553641
2019-05-18,34.256859,37.148823,33.776730,34.716217,34.716217,1841773
2019-05-19,34.725925,37.186749,34.570873,36.037785,36.037785,1325142
2019-05-20,36.054569,36.967407,34.166901,36.344551,36.344551,2645291
2019-05-21,36.336254,36.957291,35.910965,36.297245,36.297245,3838024
2019-05-22,36.273338,37.133835,34.434155,34.869808,34.869808,4733732
2019-05-23,34.828518,35.041042,31.837397,33.872894,33.872894,5490553
2019-05-24,33.845005,34.233631,32.602837,33.226566,33.226566,4069900
2019-05-25,33.226566,33.735027,32.599178,32.711281,32.711281,2041017
2019-05-26,32.684685,36.220905,32.684685,35.008648,35.008648,5261451
2019-05-27,35.005825,36.304893,34.610291,36.207531,36.207531,2779076
2019-05-28,36.190048,36.715130,35.343567,35.987644,35.987644,2816896
2019-05-29,35.977760,36.943466,34.369316,36.266457,36.266457,2571559
2019-05-30,36.266880,39.866402,34.882561,36.039333,36.039333,7961549
2019-05-31,36.039333,37.360893,33.968731,36.718349,36.718349,4736635
2019-06-01,36.732536,36.941296,35.368931,35.592335,35.592335,2743712
2019-06-02,35.592335,36.142403,35.149830,35.740562,35.740562,2662065
2019-06-03,35.738953,35.738953,32.930977,32.969868,32.969868,3263798
2019-06-04,32.969612,33.369732,31.195999,32.337093,32.337093,2995698
2019-06-05,32.367203,33.205948,31.195976,31.912378,31.912378,2431574
2019-06-06,31.900110,32.487431,30.908051,32.275620,32.275620,1906007
2019-06-07,32.268917,33.522583,32.032585,33.206120,33.206120,2119453
2019-06-08,33.171753,33.920567,32.077000,32.956245,32.956245,2575912
2019-06-09,32.956245,33.009125,29.988592,30.635025,30.635025,2435468
2019-06-10,30.603626,32.982704,30.082521,32.821854,32.821854,2495501
2019-06-11,32.840004,33.001045,31.560570,32.066074,32.066074,2729882
2019-06-12,32.066074,33.392235,31.906223,33.186180,33.186180,2417562
2019-06-13,33.209820,33.433331,32.280788,32.771900,32.771900,3308904
2019-06-14,32.781178,33.283276,30.886946,31.915924,31.915924,3427375
2019-06-15,31.914932,33.160660,31.158117,31.184242,31.184242,3193174
2019-06-16,31.184242,31.412230,29.399879,29.647614,29.647614,4320207
2019-06-17,29.634153,30.246864,28.625912,28.771168,28.771168,3873320
2019-06-18,28.759499,29.289312,28.189688,28.576019,28.576019,2846959
2019-06-19,28.581997,34.404568,28.322222,30.947203,30.947203,4998237
2019-06-20,30.934706,34.667110,29.739723,30.988449,30.988449,5347099
2019-06-21,30.853333,31.373051,29.194729,31.373051,31.373051,3727296
2019-06-22,31.373051,32.414082,29.009750,29.553514,29.553514,3246762
2019-06-23,29.547651,30.763044,29.164621,29.220879,29.220879,2470975
2019-06-24,29.220879,29.988169,28.758835,29.114840,29.114840,1863999
2019-06-25,29.123022,29.379665,27.422865,27.704824,27.704824,2381192
2019-06-26,27.655096,28.783031,23.748158,25.182789,25.182789,4476527
2019-06-27,25.178740,27.366537,23.815685,26.299299,26.299299,2616561
2019-06-28,26.299299,32.982998,25.263044,25.711643,25.711643,7190758
2019-06-29,25.724276,29.906233,25.292349,29.080685,29.080685,4918150
2019-06-30,29.058647,30.088715,25.799150,25.927231,25.927231,2357749
2019-07-01,25.927231,27.141804,24.654503,25.766962,25.766962,2286370
2019-07-02,25.761972,26.054276,24.057980,24.561058,24.561058,2268124
2019-07-03,24.562710,25.812004,24.491938,25.157606,25.157606,1232882
2019-07-04,25.150558,26.216330,23.982309,24.171232,24.171232,1400002
2019-07-05,24.167368,24.902348,23.953833,24.285986,24.285986,1203333
2019-07-06,24.277353,29.385725,24.271458,28.081682,28.081682,2328591
2019-07-07,28.157389,28.446508,25.686981,26.212505,26.212505,2314045
2019-07-08,26.189972,26.495184,24.870203,25.253002,25.253002,1506908
2019-07-09,25.256994,25.594641,24.136541,24.432924,24.432924,1267647
2019-07-10,24.441912,25.178308,22.443125,23.537218,23.537218,1424490
2019-07-11,23.546099,24.426319,22.163759,22.707319,22.707319,2061551
2019-07-12,22.714464,29.309418,22.579741,27.126743,27.126743,2636679
2019-07-13,27.221670,27.327843,23.820856,24.661507,24.661507,1162721
2019-07-14,24.669781,24.786242,19.269646,19.438852,19.438852,3241030
2019-07-15,19.395704,19.840052,17.216618,19.339369,19.339369,3148476
2019-07-16,19.318283,19.551523,15.023560,15.268919,15.268919,2264614
2019-07-17,15.241864,16.984087,14.780531,16.144958,16.144958,1700724
2019-07-18,16.143827,17.462427,15.794755,17.189850,17.189850,1359135
2019-07-19,17.189850,19.672228,16.983492,19.075037,19.075037,2165002
2019-07-20,19.053753,19.794357,18.917013,19.235388,19.235388,1186679
2019-07-21,19.235334,21.317381,18.705339,19.282497,19.282497,3655214
2019-07-22,19.282829,19.881681,18.465361,18.880939,18.880939,743372
2019-07-23,18.885101,19.133459,17.979527,18.090982,18.090982,798242
2019-07-24,18.090982,20.024021,17.606493,19.376740,19.376740,1013618
2019-07-25,19.353451,20.782478,19.175936,19.255690,19.255690,1014133
2019-07-26,19.250526,19.703466,18.914061,19.620710,19.620710,418171
2019-07-27,19.620710,20.893217,18.433456,18.567638,18.567638,656266
2019-07-28,18.595905,19.938770,18.403215,19.785618,19.785618,997903
2019-07-29,19.773884,20.184818,18.880678,19.164614,19.164614,683774
2019-07-30,19.168270,19.407997,18.910883,19.295015,19.295015,507650
2019-07-31,19.322662,20.067434,19.052326,19.145241,19.145241,659095
2019-08-01,19.186972,19.261015,18.282804,18.825878,18.825878,514999
2019-08-02,18.813644,19.351357,18.293732,19.046761,19.046761,577618
2019-08-03,19.026424,20.916307,18.916769,20.596550,20.596550,928443
2019-08-04,20.594482,20.690584,19.645027,19.751026,19.751026,630575
2019-08-05,19.784496,22.140633,19.686138,21.643179,21.643179,1188201
2019-08-06,21.631367,21.925371,20.447578,20.741608,20.741608,885124
2019-08-07,20.664501,22.553963,20.664501,22.032875,22.032875,1114250
2019-08-08,22.029158,24.970943,21.911253,24.873199,24.873199,2266289
2019-08-09,24.870880,25.915483,22.739145,22.778736,22.778736,1474270
2019-08-10,22.778736,23.204166,21.239031,21.740189,21.740189,753945
2019-08-11,21.728966,22.295799,21.478687,21.817333,21.817333,757930
2019-08-12,21.807356,23.330046,21.528976,22.842270,22.842270,929139
2019-08-13,22.852310,23.032984,21.230577,21.514671,21.514671,824575
2019-08-14,21.511358,21.519131,19.128510,19.189297,19.189297,925919
2019-08-15,19.197441,19.859402,18.486128,19.541384,19.541384,725700
2019-08-16,19.556700,19.784678,18.367311,18.794487,18.794487,880941
2019-08-17,18.663774,19.145288,18.423086,19.086781,19.086781,497434
2019-08-18,19.076870,19.631914,18.839579,19.129976,19.129976,469917
2019-08-19,19.180271,20.009644,18.955450,19.807676,19.807676,580483
2019-08-20,19.852512,20.008675,19.108032,19.378103,19.378103,592521
2019-08-21,19.368971,19.691156,18.577332,18.760614,18.760614,997084
2019-08-22,18.766445,19.220427,18.174175,18.854898,18.854898,715891
2019-08-23,18.854898,19.395866,18.617598,19.183853,19.183853,642151
2019-08-24,19.178654,19.300943,18.748152,18.974340,18.974340,1071438
2019-08-25,18.990112,19.682278,18.728563,18.806650,18.806650,1354686
2019-08-26,18.792997,18.819984,17.792286,18.142952,18.142952,1456929
2019-08-27,18.143206,18.171410,17.696276,17.868565,17.868565,574961
2019-08-28,17.868134,17.872826,15.775321,16.111658,16.111658,675582
2019-08-29,16.111872,16.111872,15.234089,15.384048,15.384048,652718
2019-08-30,15.384048,15.875488,15.236968,15.744932,15.744932,490254
2019-08-31,15.750750,16.099224,15.456371,15.791577,15.791577,466983
2019-09-01,15.795411,15.904153,15.402060,15.656736,15.656736,366103
2019-09-02,15.651082,16.636354,15.467827,16.456310,16.456310,409800
2019-09-03,16.458937,16.516729,15.938692,15.938692,15.938692,439219
2019-09-04,15.941779,15.996629,15.209953,15.285513,15.285513,429922
2019-09-05,15.454047,15.502380,14.704496,14.837602,14.837602,433684
2019-09-06,14.837602,14.867576,13.887316,14.172762,14.172762,433225
2019-09-07,14.200610,14.982650,13.815407,14.788335,14.788335,506556
2019-09-08,14.751055,14.943883,14.156879,14.191266,14.191266,757222
2019-09-09,14.227126,14.261430,13.533864,13.882588,13.882588,855048
2019-09-10,13.867100,14.133931,13.478834,13.826526,13.826526,737428
2019-09-11,13.743173,14.076918,12.973965,13.236207,13.236207,738994
2019-09-12,13.228731,13.781329,12.923163,13.738195,13.738195,627604
2019-09-13,13.740995,15.055351,13.359739,14.199203,14.199203,963051
2019-09-14,14.193878,14.432251,13.498311,13.706514,13.706514,615443
2019-09-15,13.689792,14.002989,13.509324,13.903923,13.903923,551500
2019-09-16,13.916667,14.470542,13.787306,14.303019,14.303019,588874
2019-09-17,14.297983,14.857628,14.191291,14.520204,14.520204,698432
2019-09-18,14.554348,15.090908,14.431885,14.912874,14.912874,935641
2019-09-19,14.950488,15.301004,14.052434,15.235352,15.235352,1117852
2019-09-20,15.232029,15.257190,14.769898,15.145326,15.145326,593426
2019-09-21,15.089542,15.739472,15.008045,15.330231,15.330231,531395
2019-09-22,15.304377,15.351511,14.357114,14.521653,14.521653,429408
2019-09-23,14.344658,14.556864,13.658035,13.733012,13.733012,323927
2019-09-24,13.711712,13.909719,11.054911,11.355857,11.355857,792531
2019-09-25,11.402423,12.065337,11.292928,11.673860,11.673860,730942
2019-09-26,11.673860,12.124458,10.927797,11.622003,11.622003,1199967
2019-09-27,11.612503,12.651105,11.475819,12.651105,12.651105,433244
