Date,Open,High,Low,Close,SBD-USD,Volume
2019-01-07,0.786221,0.811220,0.774477,0.805036,0.805036,118036
2019-01-08,0.805723,0.845891,0.795414,0.830034,0.830034,332022
2019-01-09,0.831215,0.847173,0.818388,0.843628,0.843628,57215
2019-01-10,0.844527,0.861039,0.732601,0.733226,0.733226,194582
2019-01-11,0.735069,0.742992,0.724114,0.730967,0.730967,78278
2019-01-12,0.732952,0.748338,0.594065,0.747071,0.747071,83182
2019-01-13,0.746593,0.786656,0.713239,0.720264,0.720264,62992
2019-01-14,0.724391,0.759291,0.711822,0.754485,0.754485,83977
2019-01-15,0.754451,0.772654,0.738749,0.749468,0.749468,49774
2019-01-16,0.756797,0.842009,0.748130,0.833333,0.833333,147290
2019-01-17,0.834561,0.903229,0.825102,0.863186,0.863186,279711
2019-01-18,0.864209,0.929791,0.846485,0.922998,0.922998,332188
2019-01-19,0.920155,0.944617,0.877846,0.926340,0.926340,220118
2019-01-20,0.911191,0.963578,0.889889,0.944610,0.944610,240361
2019-01-21,0.944645,0.974332,0.912466,0.922238,0.922238,198097
2019-01-22,0.926466,0.951287,0.887034,0.948033,0.948033,122806
2019-01-23,0.948362,0.972488,0.939667,0.953182,0.953182,143895
2019-01-24,0.954994,0.971574,0.933005,0.951452,0.951452,73707
2019-01-25,0.953149,0.969729,0.900995,0.919217,0.919217,76262
2019-01-26,0.922165,0.949847,0.920545,0.935289,0.935289,37995
2019-01-27,0.935314,0.939023,0.889231,0.896495,0.896495,52914
2019-01-28,0.893758,0.899810,0.855366,0.876944,0.876944,38215
2019-01-29,0.877654,0.882153,0.849088,0.877485,0.877485,26170
2019-01-30,0.878615,0.910204,0.872814,0.886661,0.886661,35027
2019-01-31,0.885968,0.894044,0.825003,0.839602,0.839602,135517
2019-02-01,0.840262,0.856958,0.817149,0.848481,0.848481,13242
2019-02-02,0.841692,0.890561,0.841692,0.884533,0.884533,23473
2019-02-03,0.884585,0.927317,0.883439,0.900280,0.900280,66475
2019-02-04,0.902504,0.923890,0.887565,0.892275,0.892275,51387
2019-02-05,0.890284,0.900562,0.848836,0.864354,0.864354,48714
2019-02-06,0.863137,0.866209,0.828376,0.828376,0.828376,93645
2019-02-07,0.828535,0.917362,0.824961,0.862550,0.862550,219375
2019-02-08,0.861961,0.932173,0.855475,0.890181,0.890181,241867
2019-02-09,0.890142,0.917479,0.889080,0.895148,0.895148,56483
2019-02-10,0.895367,0.933816,0.886625,0.924987,0.924987,59726
2019-02-11,0.925555,0.925555,0.892520,0.902396,0.902396,72189
2019-02-12,0.903509,0.921046,0.890110,0.904888,0.904888,35293
2019-02-13,0.906488,0.914981,0.885362,0.903750,0.903750,40667
2019-02-14,0.902792,0.918162,0.890955,0.908959,0.908959,53664
2019-02-15,0.910530,0.941335,0.900761,0.928314,0.928314,48255
2019-02-16,0.928575,0.957064,0.898810,0.957064,0.957064,122227
2019-02-17,0.957382,0.972806,0.925276,0.961662,0.961662,182842
2019-02-18,0.955573,0.976539,0.941240,0.963244,0.963244,116952
2019-02-19,0.967440,0.971157,0.941291,0.959224,0.959224,80216
2019-02-20,0.959581,0.982372,0.945233,0.977444,0.977444,61791
2019-02-21,0.979368,0.979368,0.908772,0.942973,0.942973,121114
2019-02-22,0.941680,0.965846,0.941680,0.960138,0.960138,23722
2019-02-23,0.961705,0.967657,0.941361,0.961375,0.961375,62693
2019-02-24,0.964220,0.971424,0.903751,0.943432,0.943432,78530
2019-02-25,0.938945,0.968809,0.921313,0.964687,0.964687,136392
2019-02-26,0.961343,0.975691,0.943955,0.972599,0.972599,116270
2019-02-27,0.972320,0.989566,0.960715,0.986432,0.986432,72958
2019-02-28,0.986220,1.009910,0.954651,0.995173,0.995173,222796
